"","Unit","Date.sample","Female","Repro.State","Estrogen.ng.g","log.Estrogen","Takeover.period","ID.takeover","Date.takeover","Nb.days.relative.takeover","Infant","Age.takeover","Age.takeover.cat","Age.sample","Age.sample.cat","Laboratory","Wash.step","Avg.temperature","Cumulative.rainfall"
"313","V","2010-06-12","F221","Lac",1.11,0.0453229787866575,"before","TO49","2011-02-18",-251,"M139",12.7540983606557,"12-18 months",4.52459016393443,"0-6 months","UM","sodium azide",9.32258064516129,427.4
"314","V","2011-03-24","F221","Cyc",21.04,1.3230457354817,"after","TO49","2011-02-18",34,"M139",12.7540983606557,"12-18 months",13.8688524590164,"12-18 months","UM","20% methanol",8.56428571428571,0
"315","V","2010-08-05","F221","Lac",3.58,0.553883026643874,"before","TO49","2011-02-18",-197,"M139",12.7540983606557,"12-18 months",6.29508196721311,"6-12 months","UM","sodium azide",7.8741935483871,1375.05
"316","V","2011-02-23","F221","Lac",8.92,0.950364854376123,"after","TO49","2011-02-18",5,"M139",12.7540983606557,"12-18 months",12.9180327868852,"12-18 months","UM","20% methanol",7.94838709677419,0
"317","V","2011-02-20","F221","Lac",18.52,1.26764098234592,"after","TO49","2011-02-18",2,"M139",12.7540983606557,"12-18 months",12.8196721311475,"12-18 months","UM","20% methanol",7.68387096774194,0
"318","V","2011-02-21","F221","Lac",10.02,1.00086772153123,"after","TO49","2011-02-18",3,"M139",12.7540983606557,"12-18 months",12.8524590163934,"12-18 months","UM","20% methanol",7.80322580645161,0
"319","V","2011-02-24","F221","Lac",8.19,0.913283901760418,"after","TO49","2011-02-18",6,"M139",12.7540983606557,"12-18 months",12.9508196721311,"12-18 months","UM","20% methanol",8.01612903225806,0
"320","V","2011-02-13","F221","Lac",1.4,0.146128035678238,"before","TO49","2011-02-18",-5,"M139",12.7540983606557,"12-18 months",12.5901639344262,"12-18 months","UM","20% methanol",7.01290322580645,0
"321","V","2010-11-03","F221","Lac",2.94,0.468347330412157,"before","TO49","2011-02-18",-107,"M139",12.7540983606557,"12-18 months",9.24590163934426,"6-12 months","UM","sodium azide",7.90645161290323,848.02
"322","V","2010-10-20","F221","Lac",7.02,0.846337112129805,"before","TO49","2011-02-18",-121,"M139",12.7540983606557,"12-18 months",8.78688524590164,"6-12 months","UM","sodium azide",7.93333333333333,993.22
"323","V","2010-08-28","F221","Lac",8.66,0.937517892017347,"before","TO49","2011-02-18",-174,"M139",12.7540983606557,"12-18 months",7.04918032786885,"6-12 months","UM","sodium azide",8.01935483870968,1634
"324","V","2010-04-22","F221","Lac",3.77,0.576341350205793,"before","TO49","2011-02-18",-302,"M139",12.7540983606557,"12-18 months",2.85245901639344,"0-6 months","UM","sodium azide",9.53225806451613,146
"325","V","2011-03-17","F221","Cyc",7.05,0.848189116991399,"after","TO49","2011-02-18",27,"M139",12.7540983606557,"12-18 months",13.6393442622951,"12-18 months","UM","20% methanol",8.69642857142857,0
"326","V","2010-03-09","F221","Lac",6.52,0.81424759573192,"before","TO49","2011-02-18",-346,"M139",12.7540983606557,"12-18 months",1.40983606557377,"0-6 months","UM","sodium azide",8.13928571428571,28.7
"327","V","2011-04-02","F221","Cyc",13.45,1.12872228433843,"after","TO49","2011-02-18",43,"M139",12.7540983606557,"12-18 months",14.1639344262295,"12-18 months","SB","20% methanol",8.66774193548387,0
"328","V","2010-09-28","F221","Lac",5.68,0.754348335711019,"before","TO49","2011-02-18",-143,"M139",12.7540983606557,"12-18 months",8.0655737704918,"6-12 months","UM","sodium azide",8.41935483870968,1530.4
"329","V","2011-02-19","F221","Lac",4.31,0.634477270160732,"after","TO49","2011-02-18",1,"M139",12.7540983606557,"12-18 months",12.7868852459016,"12-18 months","UM","20% methanol",7.56451612903226,0
"330","V","2011-04-02","F240","Cyc",1.75,0.243038048686294,"after","TO49","2011-02-18",43,"F222",16.1639344262295,"12-18 months",17.5737704918033,"12-18 months","SB","20% methanol",8.66774193548387,0
"331","V","2011-03-17","F240","Cyc",31.34,1.49609899213257,"after","TO49","2011-02-18",27,"F222",16.1639344262295,"12-18 months",17.0491803278689,"12-18 months","UM","20% methanol",8.69642857142857,0
"332","V","2011-02-19","F240","Lac",1.52,0.181843587944773,"after","TO49","2011-02-18",1,"F222",16.1639344262295,"12-18 months",16.1967213114754,"12-18 months","UM","20% methanol",7.56451612903226,0
"333","V","2011-03-10","F240","Cyc",18.71,1.27207378750001,"after","TO49","2011-02-18",20,"F222",16.1639344262295,"12-18 months",16.8196721311475,"12-18 months","UM","20% methanol",9.02857142857143,0
"334","V","2010-05-15","F240","Lac",1.68,0.225309281725863,"before","TO49","2011-02-18",-279,"F222",16.1639344262295,"12-18 months",7.01639344262295,"6-12 months","UM","sodium azide",9.21333333333333,221.8
"335","V","2011-02-22","F240","Lac",4.79,0.680335513414563,"after","TO49","2011-02-18",4,"F222",16.1639344262295,"12-18 months",16.2950819672131,"12-18 months","UM","20% methanol",7.85161290322581,0
"336","V","2011-02-18","F240","Lac",2.34,0.369215857410143,"after","TO49","2011-02-18",0,"F222",16.1639344262295,"12-18 months",16.1639344262295,"12-18 months","UM","20% methanol",7.45483870967742,0
"337","V","2010-11-03","F240","Lac",1.29,0.110589710299249,"before","TO49","2011-02-18",-107,"F222",16.1639344262295,"12-18 months",12.655737704918,"12-18 months","UM","sodium azide",7.90645161290323,848.02
"338","V","2011-02-24","F240","Lac",5.36,0.72916478969277,"after","TO49","2011-02-18",6,"F222",16.1639344262295,"12-18 months",16.3606557377049,"12-18 months","UM","20% methanol",8.01612903225806,0
"339","V","2011-02-23","F240","Lac",4.34,0.637489729512511,"after","TO49","2011-02-18",5,"F222",16.1639344262295,"12-18 months",16.327868852459,"12-18 months","UM","20% methanol",7.94838709677419,0
"340","V","2010-08-28","F240","Lac",5.34,0.727541257028556,"before","TO49","2011-02-18",-174,"F222",16.1639344262295,"12-18 months",10.4590163934426,"6-12 months","UM","sodium azide",8.01935483870968,1634
"341","V","2010-06-12","F240","Lac",1.31,0.117271295655764,"before","TO49","2011-02-18",-251,"F222",16.1639344262295,"12-18 months",7.9344262295082,"6-12 months","UM","sodium azide",9.32258064516129,427.4
"342","V","2010-10-20","F240","Lac",0.9,-0.0457574905606751,"before","TO49","2011-02-18",-121,"F222",16.1639344262295,"12-18 months",12.1967213114754,"12-18 months","UM","sodium azide",7.93333333333333,993.22
"343","V","2011-02-21","F240","Lac",3.73,0.571708831808688,"after","TO49","2011-02-18",3,"F222",16.1639344262295,"12-18 months",16.2622950819672,"12-18 months","UM","20% methanol",7.80322580645161,0
"344","V","2010-03-09","F240","Lac",4.62,0.664641975556125,"before","TO49","2011-02-18",-346,"F222",16.1639344262295,"12-18 months",4.81967213114754,"0-6 months","UM","sodium azide",8.13928571428571,28.7
"345","V","2010-09-28","F240","Lac",5.86,0.767897616018091,"before","TO49","2011-02-18",-143,"F222",16.1639344262295,"12-18 months",11.4754098360656,"6-12 months","UM","sodium azide",8.41935483870968,1530.4
"346","V","2011-02-13","F240","Lac",1.28,0.107209969647868,"before","TO49","2011-02-18",-5,"F222",16.1639344262295,"12-18 months",16,"12-18 months","UM","20% methanol",7.01290322580645,0
"347","V","2010-04-22","F240","Lac",4.91,0.691081492122968,"before","TO49","2011-02-18",-302,"F222",16.1639344262295,"12-18 months",6.26229508196721,"6-12 months","UM","sodium azide",9.53225806451613,146
"348","V","2011-02-20","F240","Lac",8.45,0.926856708949692,"after","TO49","2011-02-18",2,"F222",16.1639344262295,"12-18 months",16.2295081967213,"12-18 months","UM","20% methanol",7.68387096774194,0
"349","V","2011-03-03","F240","Cyc",12.11,1.08314414314305,"after","TO49","2011-02-18",13,"F222",16.1639344262295,"12-18 months",16.5901639344262,"12-18 months","UM","20% methanol",8.48571428571429,0
"350","M2","2010-07-30","F142","Cyc",1.49,0.173186268412274,"after","TO50","2010-01-31",180,"M88",11.8688524590164,"6-12 months",17.7704918032787,"12-18 months","UM","sodium azide",8.16333333333333,1336.05
