"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Time.to.swell","Sex.infant","Parity","Takeover.before.swelling","Date.takeover","ID.takeover","Age.takeover","Dataset"
"74","T","F212","F205","2017-12-16","mother swells","2018-05-10",4.75409836065574,"F","multi","Takeover","2017-10-23","TO54",-1.77049180327869,"conservative"
"75","R","F192","F196","2010-10-26","mother swells","2011-07-27",8.98360655737705,"F","multi","Takeover","2011-06-06","TO55",7.31147540983607,"conservative"
"76","M2","F135","F151","2012-06-05","mother swells","2013-08-15",14.2950819672131,"F","primi","Takeover","2013-07-30","TO57",13.7704918032787,"conservative"
"77","M2","F161","F149","2012-08-07","mother swells","2013-08-15",12.2295081967213,"F","multi","Takeover","2013-07-30","TO57",11.7049180327869,"conservative"
"78","T1","F201","F199","2018-11-25","mother swells","2020-03-11",15.4754098360656,"F","multi","Takeover","2019-11-28","TO60",12.0655737704918,"uncertain"
"79","B1","F14","F19","2011-09-05","mother swells","2013-04-24",19.5737704918033,"F","multi","Takeover","2013-04-05","TO61",18.9508196721311,"uncertain"
"80","B1","F16","M8","2012-10-26","mother swells","2013-06-30",8.09836065573771,"M","multi","Takeover","2013-04-05","TO61",5.27868852459016,"conservative"
"81","B1","F25","M10","2012-02-16","mother swells","2013-04-24",14.1967213114754,"M","multi","Takeover","2013-04-05","TO61",13.5737704918033,"uncertain"
"82","B1","F31","M12","2012-10-12","mother swells","2013-10-03",11.672131147541,"M","multi","Takeover","2013-04-05","TO61",5.73770491803279,"conservative"
"83","B1","F21","F27","2012-01-27","mother swells","2013-04-24",14.8524590163934,"F","primi","Takeover","2013-04-05","TO61",14.2295081967213,"conservative"
"84","C4","F50","M29","2013-10-30","mother swells","2014-10-15",11.4754098360656,"M","multi","Takeover","2014-09-22","TO64",10.7213114754098,"conservative"
"85","C4","F41","M26","2014-02-23","mother swells","2014-10-17",7.73770491803279,"M","multi","Takeover","2014-09-22","TO64",6.91803278688525,"conservative"
"86","C4","F45","F47","2013-01-28","mother swells","2014-10-02",20.0655737704918,"F","primi","Takeover","2014-09-22","TO64",19.7377049180328,"conservative"
"87","T","F211","M57","2008-03-29","mother swells","2009-09-05",17.2131147540984,"M","multi","Takeover","2009-08-08","TO65",16.2950819672131,"conservative"
"88","T","F216","M133","2009-11-13","mother swells","2010-04-05",4.68852459016393,"M","multi","Takeover","2009-08-08","TO65",-3.18032786885246,"conservative"
"89","T","F204","M9","2008-09-09","mother swells","2009-09-05",11.8360655737705,"M","primi","Takeover","2009-08-08","TO65",10.9180327868852,"conservative"
"90","T","F215","F208","2009-08-05","mother swells","2009-11-20",3.50819672131148,"F","primi","Takeover","2009-08-08","TO65",0.0983606557377049,"conservative"
"91","C1","F55","M30","2010-09-30","mother swells","2011-06-09",8.26229508196721,"M","multi","Takeover","2011-03-06","TO66",5.14754098360656,"conservative"
"92","C1","F50","M71","2010-07-09","mother swells","2011-04-09",8.98360655737705,"M","primi","Takeover","2011-03-06","TO66",7.86885245901639,"conservative"
"93","C1","F44","M51","2010-01-15","mother swells","2011-04-04",14.5573770491803,"M","primi","Takeover","2011-03-06","TO66",13.6065573770492,"conservative"
"94","C1","F54","M109","2010-01-01","mother swells","2011-04-04",15.016393442623,"M","multi","Takeover","2011-03-06","TO66",14.0655737704918,"conservative"
"95","C1","F39","F61","2010-01-24","mother swells","2011-03-29",14.0655737704918,"F","multi","Takeover","2011-03-06","TO66",13.3114754098361,"conservative"
"96","C1","F42","M25","2010-03-01","mother swells","2011-03-29",12.8852459016393,"M","multi","Takeover","2011-03-06","TO66",12.1311475409836,"conservative"
"97","C3","F43","F58","2011-09-21","mother swells","2012-03-28",6.19672131147541,"F","multi","Takeover","2012-03-22","TO67",6,"conservative"
"98","T","F215","F213","2011-10-31","mother swells","2012-04-16",5.50819672131148,"F","multi","Takeover","2012-03-13","TO70",4.39344262295082,"conservative"
"99","T","F207","M66","2011-07-01","mother swells","2012-04-17",9.54098360655738,"M","primi","Takeover","2012-03-13","TO70",8.39344262295082,"conservative"
"100","T","F204","F219","2010-11-14","mother swells","2012-04-16",17.016393442623,"F","multi","Takeover","2012-03-13","TO70",15.9016393442623,"conservative"
"101","T","F218","M127","2011-07-19","mother swells","2012-05-24",10.1639344262295,"M","primi","Takeover","2012-03-13","TO70",7.80327868852459,"conservative"
"102","T","F198","F210","2011-03-14","mother swells","2012-04-16",13.0819672131148,"F","primi","Takeover","2012-03-13","TO70",11.9672131147541,"conservative"
"103","G","F85","M59","2015-10-14","mother swells","2016-06-14",8,"M","multi","Takeover","2015-12-27","TO76",2.42622950819672,"uncertain"
"104","C3","F43","F49","2009-02-20","mother swells","2010-10-05",19.4098360655738,"F","primi","No takeover",NA,NA,NA,"conservative"
"105","G","F88","M54","2013-08-30","mother swells","2015-04-20",19.6065573770492,"M","multi","No takeover",NA,NA,NA,"conservative"
"106","A","F5","F2","2010-09-05","mother swells","2012-11-06",26,"F","primi","No takeover",NA,NA,NA,"conservative"
"107","G","F89","M55","2013-06-18","mother swells","2015-04-03",21.4426229508197,"M","multi","No takeover",NA,NA,NA,"conservative"
"108","M1","F145","F154","2013-12-11","mother swells","2015-05-26",17.4098360655738,"F","multi","No takeover",NA,NA,NA,"conservative"
"109","C5","F45","F56","2016-04-27","mother swells","2018-03-12",22.4262295081967,"F","multi","No takeover",NA,NA,NA,"conservative"
"110","A","F7","F9","2017-07-20","mother swells","2018-03-28",8.22950819672131,"F","multi","No takeover",NA,NA,NA,"conservative"
"111","C3","F46","F48","2014-06-13","mother swells","2016-04-02",21.6065573770492,"F","multi","No takeover",NA,NA,NA,"conservative"
"112","C3","F46","F51","2016-10-27","mother swells","2019-03-25",28.8196721311475,"F","multi","No takeover",NA,NA,NA,"conservative"
"113","C3","F49","F60","2016-03-08","mother swells","2018-02-23",23.5081967213115,"F","primi","No takeover",NA,NA,NA,"conservative"
